subject,Caspase subgraph,Chaperone subgraph,GRB10 subgraph,Interferon signaling subgraph,Insulin signal transduction,Interleukin signaling subgraph,MAPK subgraph,miRNA subgraph,Notch signaling subgraph,RhoA subgraph,Amyloidogenic subgraph,Akt/mTOR subgraph,Apoptosis signaling subgraph,Autophagy signaling subgraph,ATP13A2 subgraph,APOE subgraph,Bcl-2 subgraph,Calcium-dependent signal transduction,Calsyntenin subgraph,Cholesterol metabolism subgraph,Cell cycle subgraph,Cyclic AMP subgraph,Cytokine signaling subgraph,DNA synthesis,Dopaminergic subgraph,Disaccharide metabolism subgraph,Endoplasmic reticulum-Golgi protein export,Energy metabolic subgraph,Estrogen subgraph,FMR1 subgraph,Folate metabolic subgraph,GABA subgraph,GSK3 subgraph,G-protein-mediated signaling,Innate immune system subgraph,Lipid metabolism subgraph,LRRK2 subgraph,Matrix metalloproteinase subgraph,Mitochondria fission subgraph,Mitochondria fusion subgraph,Mitochondrial subgraph,Mitophagy subgraph,Nuclear factor Kappa beta subgraph,Neurotrophic subgraph,Nitric oxide subgraph,PINK1 subgraph,Phosphatidylinositol 3 subgraph,Pre-translational events,Post-translational events,Regulation of cytoskeleton subgraph,Response to oxidative stress,Reactive oxygen species subgraph,Synuclein subgraph,Tau protein subgraph,Transcription subgraph,Transport related subgraph,Toll like receptor subgraph,Tumor necrosis factor subgraph,Ubiquitin subgraph,Unfolded protein response subgraph,Vascular endothelial growth factor subgraph,Vitamin subgraph,Wnt signaling subgraph,CRH subgraph
PPMISI41529,0,0.0543478261,0,0.0377358491,0,0.0045351474,nan,0.0909090909,0.6,nan,0,0.0178571429,0.0679012346,nan,nan,0.1,0.0208333333,nan,0,0,nan,nan,0,0,0,nan,0,nan,nan,0,0,nan,0.0224719101,0.5,0.0555555556,nan,0,nan,0,0.05,nan,nan,0.1666666667,nan,0,nan,0.0714285714,0,0.0175438596,0.2857142857,0.125,0,nan,0.0470588235,0.0357142857,nan,0,0.0354609929,0,0,0,nan,nan,
PPMISI41560,0.0322580645,0.0566037736,0,0.037037037,0,0.004784689,nan,0.0434782609,0.15,nan,nan,0.0540540541,0.0434782609,nan,nan,0.0434782609,0.0350877193,nan,0,0.0481927711,nan,nan,nan,0.1428571429,nan,nan,0,nan,nan,0.0909090909,0,nan,0.0212765957,0.0114942529,0.0416666667,nan,0,nan,0,0.0460526316,nan,0,0.0212765957,0,0.0833333333,nan,0,0,0.0625,0.2857142857,0.0404040404,0.1590909091,nan,0.1276595745,0.1,nan,nan,0.0324675325,0,nan,0,0,0.05,
PPMISI41562,0,0.0564516129,0,0.0648148148,nan,0.0025,0,0.0789473684,0.0566037736,nan,nan,0.0172413793,0.0731707317,nan,nan,0,0.027027027,nan,0,0,nan,nan,nan,0.0357142857,0,0,0.1666666667,nan,nan,0,0.0263157895,0.0909090909,0.0128205128,0.0476190476,0.0434782609,nan,0,0.1111111111,nan,0.0592592593,nan,nan,0,nan,0,nan,0,0,0.0327868852,0.2857142857,0.0566037736,0.0714285714,nan,0.0526315789,0,nan,0,0.04,nan,nan,0,0,0,
PPMISI41568,0.0571428571,0.0897435897,nan,0.0759493671,nan,0.0095011876,0,0.16,0.012987013,nan,nan,0.0294117647,0.0652173913,nan,nan,nan,0.0649350649,nan,0,0,nan,nan,0,0,0,0,0,nan,nan,0.1666666667,0.1,nan,0,0,0.0909090909,nan,0,nan,0,0.0394736842,nan,0,0.0476190476,nan,nan,0.04,0,0,0.1034482759,0.2857142857,0,0.3,nan,0.1034482759,0,0,0,0.0375335121,0,nan,0.1,nan,nan,
PPMISI41578,0,0.0425531915,nan,0.0322580645,0,0,0,0,0.0666666667,nan,0,0,nan,nan,nan,0.0909090909,0.0147058824,nan,0,0,nan,nan,0,0.1538461538,0,nan,0,nan,nan,0.125,0,nan,0.0296296296,0.0909090909,0,nan,0,nan,0.0322580645,0.0330578512,nan,0,0.0434782609,nan,0,0.04,0.0555555556,0,0.0163934426,0.2857142857,0.0373831776,0,nan,0.0377358491,0.037037037,nan,nan,0.0806451613,0,0.1428571429,0.023255814,nan,nan,
PPMISI41664,0,0.0740740741,nan,0.0769230769,nan,0.0044247788,0,0.1052631579,0.0638297872,nan,0,0.03125,0.25,nan,nan,0.0625,0.0481927711,nan,0,0,nan,nan,0,0.0408163265,0,0,0.125,nan,nan,0.125,0.0296296296,nan,0.0147058824,0,0.1034482759,nan,0,0.1111111111,0,0.0666666667,nan,nan,0,nan,0,nan,0.064516129,0,0,nan,0.1818181818,0.25,nan,0,0,nan,0,0.0193050193,nan,0.1428571429,0,0,0.125,
PPMISI41967,0,0.04,0,0.0602409639,0,0.006772009,nan,0,0.0714285714,nan,nan,0.037037037,0.0650406504,nan,nan,0.0909090909,0,nan,0,0.0238095238,nan,nan,nan,0.0625,nan,0,0.5,nan,nan,0,0,nan,0.0144927536,0.0625,0,nan,0,nan,0,0.0222222222,nan,0,0,nan,nan,nan,0.0576923077,0,0.0344827586,nan,0.0238095238,0,nan,0.175,0.0588235294,nan,0,0.0222222222,0,0,0,nan,nan,
PPMISI42072,0,0,nan,0.0158730159,nan,0.0024630542,nan,0.1153846154,0.0985915493,nan,nan,0.038961039,0,nan,nan,0.0263157895,0,nan,0,0.0192307692,nan,nan,0,0.1666666667,0,0,0,nan,nan,0.25,0.0606060606,nan,0.0348837209,0,0.2222222222,nan,0,0.1111111111,0,0.0327868852,nan,nan,0,nan,nan,0.04,0.0350877193,0,0.0555555556,0.2857142857,0,0.25,nan,0.137254902,0.027027027,nan,0,0.0191082803,0,0,0.023255814,nan,nan,
PPMISI42121,0.0322580645,0,nan,0,0,0.0085653105,nan,0,0,nan,nan,0,0.0714285714,nan,nan,0,0.0297029703,nan,0,0.0363636364,nan,nan,nan,0,0,0,0,nan,nan,0.1666666667,0.0264900662,nan,0.006993007,0,0.1666666667,nan,0,nan,0,0.0379746835,nan,nan,0,nan,nan,nan,0,0,0,nan,0,0,nan,0.0413793103,0.0263157895,nan,0,0.017699115,0,0.0833333333,0,0,nan,
PPMISI42123,0.0263157895,0.010989011,0,0,0,0.0070921986,0,0.1666666667,0,nan,0,0.0303030303,0,nan,nan,0.0512820513,0.0454545455,nan,0,0.0285714286,nan,nan,0,0.0769230769,nan,0,0,nan,nan,0.1363636364,0,0.2307692308,0.0212765957,0,0.0810810811,nan,0,nan,0,0.0285714286,nan,nan,0,nan,nan,0,0,0,0.0563380282,0.2857142857,nan,0.1388888889,nan,0.0833333333,0,nan,nan,0.0157894737,nan,0.1428571429,0,0,nan,
